Date,Game,Team,Side,Market,ML,Book,Model_Prob,Market_Prob,Edge_Pct,Model_Line,Market_Line,SP_Score,LU_Score,Park_Factor,Ump_K,Result,F5_Score,Taken,logged_at,Model_Prob_Cal,Edge_Cal,Closing_ML,Closing_Line,CLV_Pct
04/18/2026,Atlanta Braves @ Philadelphia Phillies,Philadelphia Phillies,Home,F5 ML,-125.0,betmgm,64.3,55.6,8.7,,,61.49999999999999,50.0,0.99,0.0,LOSS,3-1,False,unknown,,,,,
04/18/2026,Atlanta Braves @ Philadelphia Phillies,Philadelphia Phillies,Home,F5 Spread,118.0,fanduel,72.1,45.9,26.2,-0.5,0.5,49.2,50.0,0.99,0.0,LOSS,3-1,False,unknown,,,,,
04/18/2026,Atlanta Braves @ Philadelphia Phillies,Over,Over,F5 Total,100.0,williamhill_us,65.4,50.0,15.4,4.41,3.5,49.2,50.0,0.99,0.0,WIN,3-1,False,unknown,,,,,
04/18/2026,Baltimore Orioles @ Cleveland Guardians,Cleveland Guardians,Home,F5 Spread,108.0,fanduel,62.4,48.1,14.3,-0.5,0.5,50.3,50.0,0.95,0.0,WIN,1-3,False,unknown,,,,,
04/18/2026,Chicago White Sox @ Athletics,Athletics,Home,F5 ML,-160.0,williamhill_us,56.0,61.5,-5.5,,,45.6,50.0,1.0,0.0,LOSS,5-3,False,unknown,,,,,
04/18/2026,Chicago White Sox @ Athletics,Athletics,Home,F5 Spread,-120.0,fanduel,62.6,54.5,8.1,-0.5,0.5,48.5,50.0,1.0,0.0,LOSS,5-3,False,unknown,,,,,
04/18/2026,Chicago White Sox @ Athletics,Under,Under,F5 Total,-115.0,williamhill_us,63.7,53.5,10.2,4.53,5.3,48.5,50.0,1.0,0.0,LOSS,5-3,False,unknown,,,,,
04/18/2026,Chicago White Sox @ Athletics,Chicago White Sox,Away,F5 ML,-1100.0,fanduel,91.0,91.7,-0.7,,,51.5,50.0,1.0,0.0,WIN,5-3,False,unknown,,,,,
04/18/2026,Chicago White Sox @ Athletics,Chicago White Sox,Away,F5 Spread,-130.0,fanduel,95.9,56.5,39.3,-2.5,-2.5,48.5,50.0,1.0,0.0,LOSS,5-3,False,unknown,,,,,
04/18/2026,Cincinnati Reds @ Minnesota Twins,Minnesota Twins,Home,F5 ML,-140.0,fanduel,65.2,58.3,6.9,,,64.5,50.0,0.98,0.0,WIN,2-4,False,unknown,,,,,
04/18/2026,Cincinnati Reds @ Minnesota Twins,Minnesota Twins,Home,F5 Spread,104.0,fanduel,72.5,49.0,23.4,-0.5,0.5,53.5,50.0,0.98,0.0,WIN,2-4,False,unknown,,,,,
04/18/2026,Cincinnati Reds @ Minnesota Twins,Under,Under,F5 Total,-105.0,williamhill_us,64.6,51.2,13.4,3.47,4.3,53.5,50.0,0.98,0.0,LOSS,2-4,False,unknown,,,,,
04/18/2026,Detroit Tigers @ Boston Red Sox,Detroit Tigers,Away,F5 ML,-190.0,williamhill_us,69.1,65.5,3.6,,,57.89999999999999,50.0,1.07,0.0,WIN,4-1,False,unknown,,,,,
04/18/2026,Detroit Tigers @ Boston Red Sox,Detroit Tigers,Away,F5 Spread,-130.0,williamhill_us,71.7,56.5,15.2,-0.5,-0.5,51.0,50.0,1.07,0.0,WIN,4-1,False,unknown,,,,,
04/18/2026,Detroit Tigers @ Boston Red Sox,Over,Over,F5 Total,-105.0,williamhill_us,73.7,51.2,22.4,4.79,3.3,51.0,50.0,1.07,0.0,WIN,4-1,False,unknown,,,,,
04/18/2026,Kansas City Royals @ New York Yankees,New York Yankees,Home,F5 ML,-150.0,williamhill_us,55.2,60.0,-4.8,,,50.1,50.0,1.0,0.042,WIN,0-7,False,unknown,,,,,
04/18/2026,Kansas City Royals @ New York Yankees,New York Yankees,Home,F5 Spread,-105.0,williamhill_us,62.2,51.2,11.0,-0.5,0.5,52.4,50.0,1.0,0.042,WIN,0-7,False,unknown,,,,,
04/18/2026,Los Angeles Dodgers @ Colorado Rockies,Los Angeles Dodgers,Away,F5 ML,-230.0,fanduel,62.5,69.7,-7.1,,,50.6,50.0,1.28,0.0,WIN,3-2,False,unknown,,,,,
04/18/2026,Los Angeles Dodgers @ Colorado Rockies,Los Angeles Dodgers,Away,F5 Spread,104.0,fanduel,73.9,49.0,24.9,-1.2,-1.2,52.7,50.0,1.28,0.0,LOSS,3-2,False,unknown,,,,,
04/18/2026,Los Angeles Dodgers @ Colorado Rockies,Under,Under,F5 Total,-110.0,fanduel,55.3,52.4,2.9,5.36,5.7,52.7,50.0,1.28,0.0,WIN,3-2,False,unknown,,,,,
